,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
0,12898957,JF482154,2022-11-20T23:57:00.000,069XX S DORCHESTER AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,0321,003,5,43,15,1186728,1859561,2022,2022-11-27T15:51:23.000,41.769749009,-87.591088226,"{'latitude': '41.769749009', 'longitude': '-87.591088226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,39,416,33,60,18,206
1,12898978,JF482149,2022-11-20T23:55:00.000,006XX W FULLERTON PKWY,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,True,False,1935,019,43,7,04B,1171694,1916203,2022,2022-11-27T15:51:23.000,41.925522178,-87.644530656,"{'latitude': '41.925522178', 'longitude': '-87.644530656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51,21190,68,794,34,16,14,149
2,12899103,JF482152,2022-11-20T23:55:00.000,016XX W SHERWIN AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False,2423,024,49,1,26,1164265,1948722,2022,2022-11-27T15:51:23.000,42.014916096,-87.670904385,"{'latitude': '42.014916096', 'longitude': '-87.670904385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,489,5,9,11,37
3,12899007,JF482150,2022-11-20T23:50:00.000,059XX W HIRSCH ST,0810,THEFT,OVER $500,SIDEWALK,False,False,2531,025,29,25,06,1136301,1908699,2022,2022-11-27T15:51:23.000,41.905636837,-87.774762649,"{'latitude': '41.905636837', 'longitude': '-87.774762649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,4299,26,565,7,5,6,154
4,12898961,JF482136,2022-11-20T23:44:00.000,065XX S ELLIS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,True,False,0321,003,20,42,15,1184014,1861817,2022,2022-11-27T15:51:23.000,41.776003524,-87.600966016,"{'latitude': '41.776003524', 'longitude': '-87.600966016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,9,347,4,60,18,206
5,12898972,JF482142,2022-11-20T23:40:00.000,048XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0931,009,20,61,08B,1166156,1872657,2022,2022-11-27T15:51:23.000,41.806148486,-87.666123458,"{'latitude': '41.806148486', 'longitude': '-87.666123458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,14924,59,740,4,37,23,119
6,12899337,JF482558,2022-11-20T23:30:00.000,084XX S PEORIA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0613,006,21,71,07,1171783,1848860,2022,2022-11-27T15:51:23.000,41.740724962,-87.646183046,"{'latitude': '41.740724962', 'longitude': '-87.646183046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,530,13,59,20,233
7,12899000,JF482170,2022-11-20T23:30:00.000,036XX W NORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2535,025,26,23,07,1151961,1910392,2022,2022-11-27T15:51:23.000,41.909988359,-87.717192862,"{'latitude': '41.909988359', 'longitude': '-87.717192862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,22535,24,454,49,1,6,193
8,12898963,JF482164,2022-11-20T23:30:00.000,062XX S SACRAMENTO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,False,True,0823,008,16,66,14,1157456,1863076,2022,2022-11-27T15:51:23.000,41.780037798,-87.698291673,"{'latitude': '41.780037798', 'longitude': '-87.698291673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,21867,64,182,2,58,13,276
9,12899077,JF482147,2022-11-20T23:26:00.000,005XX S WACKER DR,0810,THEFT,OVER $500,STREET,False,True,0123,001,25,32,06,1174323,1897875,2022,2022-11-27T15:51:23.000,41.875170837,-87.635418398,"{'latitude': '41.875170837', 'longitude': '-87.635418398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14917,38,92,26,44,22,144
10,12898943,JF482132,2022-11-20T23:22:00.000,047XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,2522,025,31,19,06,1144183,1915534,2022,2022-11-27T15:51:23.000,41.924248302,-87.745636923,"{'latitude': '41.924248302', 'longitude': '-87.745636923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22615,19,305,17,2,6,188
11,12902601,JF486352,2022-11-20T23:20:00.000,009XX W FOSTER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,False,False,2024,020,48,3,06,1169018,1934728,2022,2022-11-27T15:51:23.000,41.976414059,-87.653823823,"{'latitude': '41.976414059', 'longitude': '-87.653823823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,22616,76,635,16,15,2,47
12,12898951,JF482141,2022-11-20T23:12:00.000,022XX E 87TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0412,004,8,48,14,1192465,1847725,2022,2022-11-27T15:51:23.000,41.737132261,-87.570443974,"{'latitude': '41.737132261', 'longitude': '-87.570443974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,44,431,35,25,19,240
13,12898950,JF482128,2022-11-20T23:11:00.000,041XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2534,025,26,23,08B,1148609,1910315,2022,2022-11-27T15:51:23.000,41.909842477,-87.729508839,"{'latitude': '41.909842477', 'longitude': '-87.729508839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,24,286,49,5,6,194
14,12899275,JF482597,2022-11-20T23:10:00.000,038XX W 58TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0822,008,23,62,07,1151751,1865538,2022,2022-11-27T15:51:23.000,41.786907616,-87.719142807,"{'latitude': '41.786907616', 'longitude': '-87.719142807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,60,774,6,58,13,129
15,12898967,JF482130,2022-11-20T23:03:00.000,065XX S WESTERN AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0832,008,16,66,03,1161495,1861323,2022,2022-11-27T15:51:23.000,41.775144517,-87.683532573,"{'latitude': '41.775144517', 'longitude': '-87.683532573', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,22257,64,370,2,23,13,207
16,12899316,JF482650,2022-11-20T23:00:00.000,070XX S EGGLESTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0732,007,6,68,14,1174495,1858312,2022,2022-11-27T15:51:23.000,41.766602557,-87.635965849,"{'latitude': '41.766602557', 'longitude': '-87.635965849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,66,479,32,11,17,214
17,12899169,JF482417,2022-11-20T23:00:00.000,015XX W WEBSTER AVE,0810,THEFT,OVER $500,STREET,False,False,1811,018,2,7,06,1165567,1914723,2022,2022-11-27T15:51:23.000,41.921593821,-87.667086373,"{'latitude': '41.921593821', 'longitude': '-87.667086373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,21190,68,210,11,16,14,186
18,12899473,JF482871,2022-11-20T23:00:00.000,082XX S COMMERCIAL AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,0424,004,7,46,06,1197620,1851010,2022,2022-11-27T15:51:23.000,41.746019604,-87.551448636,"{'latitude': '41.746019604', 'longitude': '-87.551448636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,42,505,37,25,19,239
19,12898938,JF482127,2022-11-20T23:00:00.000,047XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,APARTMENT,False,False,0223,002,3,38,08A,1179661,1873623,2022,2022-11-27T15:51:23.000,41.808500903,-87.616562762,"{'latitude': '41.808500903', 'longitude': '-87.616562762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,21192,4,447,9,10,24,116
20,12899282,JF482456,2022-11-20T23:00:00.000,002XX W 38TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA PARKING LOT / GROUNDS,False,True,0915,009,3,34,08B,1175077,1879432,2022,2022-11-27T15:51:23.000,41.824545007,-87.633202124,"{'latitude': '41.824545007', 'longitude': '-87.633202124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,14924,35,296,9,37,23,170
21,12899020,JF482151,2022-11-20T23:00:00.000,022XX S TRUMBULL AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,ALLEY,False,False,1024,010,22,30,07,1153716,1888909,2022,2022-11-27T15:51:23.000,41.85100201,-87.711317656,"{'latitude': '41.85100201', 'longitude': '-87.711317656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,21569,32,755,28,57,21,130
22,12899296,JF482657,2022-11-20T23:00:00.000,013XX W ROOSEVELT RD,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1231,012,28,28,06,1167717,1894825,2022,2022-11-27T15:51:23.000,41.86694623,-87.659760705,"{'latitude': '41.86694623', 'longitude': '-87.659760705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14920,29,759,26,43,15,150
23,12899145,JF482315,2022-11-20T23:00:00.000,076XX S CAMPBELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0835,008,18,70,07,1161037,1853908,2022,2022-11-27T15:51:23.000,41.754806165,-87.685416304,"{'latitude': '41.754806165', 'longitude': '-87.685416304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,498,30,8,13,226
24,12900446,JF484019,2022-11-20T23:00:00.000,018XX N MILWAUKEE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,False,False,1434,014,32,22,14,1160617,1912455,2022,2022-11-27T15:51:23.000,41.915474358,-87.68533691,"{'latitude': '41.915474358', 'longitude': '-87.68533691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22535,23,373,40,1,7,192
