month,Year,District,SAFETY,crime
1,2018,1.0,68.7375,1250
1,2018,2.0,60.730000000000004,914
1,2018,3.0,58.1125,981
1,2018,4.0,57.2325,1055
1,2018,5.0,57.322500000000005,847
1,2018,6.0,58.47,1236
1,2018,7.0,62.3875,1054
1,2018,8.0,62.58,1250
1,2018,9.0,58.45,841
1,2018,10.0,59.905,938
1,2018,11.0,62.38,1451
1,2018,12.0,58.615,923
1,2018,14.0,66.9825,655
1,2018,15.0,58.4425,748
1,2018,16.0,69.72200000000001,769
1,2018,17.0,68.8175,637
1,2018,18.0,70.82249999999999,1303
1,2018,19.0,71.96249999999999,904
1,2018,20.0,69.9575,405
1,2018,22.0,63.3425,666
1,2018,24.0,67.2375,590
1,2018,25.0,61.58166666666667,1124
1,2019,1.0,68.9175,1181
1,2019,2.0,56.212500000000006,849
1,2019,3.0,46.07,931
1,2019,4.0,52.2375,1046
1,2019,5.0,50.84,880
1,2019,6.0,47.93,1196
1,2019,7.0,49.83,966
1,2019,8.0,56.99,1213
1,2019,9.0,51.035,771
1,2019,10.0,48.54,999
1,2019,11.0,50.7,1511
1,2019,12.0,65.17750000000001,992
1,2019,14.0,66.4175,673
1,2019,15.0,58.0,726
1,2019,16.0,69.712,682
1,2019,17.0,66.2225,524
1,2019,18.0,70.85249999999999,1184
1,2019,19.0,69.6225,850
1,2019,20.0,70.8375,359
1,2019,22.0,61.5925,616
1,2019,24.0,62.74,562
1,2019,25.0,59.94,1011
1,2020,1.0,57.394999999999996,1071
1,2020,2.0,58.39,813
1,2020,3.0,54.2125,1035
1,2020,4.0,51.8475,1083
1,2020,5.0,53.58,884
1,2020,6.0,52.4375,1263
1,2020,7.0,45.41,1066
1,2020,8.0,58.667500000000004,1259
1,2020,9.0,57.57,882
1,2020,10.0,50.1725,969
1,2020,11.0,52.51,1305
1,2020,12.0,57.77,931
1,2020,14.0,62.5175,701
1,2020,15.0,48.6025,851
1,2020,16.0,65.65599999999999,632
1,2020,17.0,60.68,570
1,2020,18.0,61.28,1079
1,2020,19.0,63.1025,952
1,2020,20.0,67.32,331
1,2020,22.0,60.9775,615
1,2020,24.0,59.0725,626
1,2020,25.0,59.10833333333333,974
1,2021,1.0,48.9925,531
1,2021,2.0,53.347500000000004,707
1,2021,3.0,44.7975,893
1,2021,4.0,49.81,978
1,2021,5.0,48.6225,796
1,2021,6.0,49.3825,1069
1,2021,7.0,40.0,825
1,2021,8.0,51.6225,1062
1,2021,9.0,54.192499999999995,707
1,2021,10.0,48.36,673
1,2021,11.0,49.0125,1065
1,2021,12.0,50.8975,763
1,2021,14.0,62.8775,513
1,2021,15.0,40.6475,625
1,2021,16.0,62.370000000000005,784
1,2021,17.0,61.28,458
1,2021,18.0,54.485,630
1,2021,19.0,62.3425,720
1,2021,20.0,65.6175,315
1,2021,22.0,53.92,608
1,2021,24.0,58.69,559
1,2021,25.0,57.10666666666666,838
2,2018,1.0,73.825,1089
2,2018,2.0,63.2725,776
2,2018,3.0,59.01,781
2,2018,4.0,57.07,964
2,2018,5.0,60.795,714
2,2018,6.0,55.7425,1068
2,2018,7.0,61.08,862
2,2018,8.0,63.612500000000004,1128
2,2018,9.0,49.42,726
2,2018,10.0,66.4125,825
2,2018,11.0,63.67,1196
2,2018,12.0,63.8175,784
2,2018,14.0,68.06,560
2,2018,15.0,55.73,645
2,2018,16.0,70.34200000000001,593
2,2018,17.0,69.05,524
2,2018,18.0,71.3725,987
2,2018,19.0,71.3425,792
2,2018,20.0,70.0425,323
2,2018,22.0,63.1075,565
2,2018,24.0,68.96,518
2,2018,25.0,57.578333333333326,939
2,2019,1.0,70.8,1140
2,2019,2.0,60.0625,781
2,2019,3.0,47.435,896
2,2019,4.0,51.65,955
2,2019,5.0,50.88,774
2,2019,6.0,50.92,1190
2,2019,7.0,50.1875,974
2,2019,8.0,58.385,1180
2,2019,9.0,51.8775,764
2,2019,10.0,46.519999999999996,849
2,2019,11.0,50.1325,1346
2,2019,12.0,63.74,935
2,2019,14.0,66.1925,583
2,2019,15.0,50.7025,645
2,2019,16.0,72.418,631
2,2019,17.0,66.96000000000001,495
2,2019,18.0,72.67750000000001,1133
2,2019,19.0,71.3275,759
2,2019,20.0,69.5225,331
2,2019,22.0,62.41,576
2,2019,24.0,61.8975,556
2,2019,25.0,60.169999999999995,936
2,2020,1.0,59.19,992
2,2020,2.0,60.1175,764
2,2020,3.0,54.01,909
2,2020,4.0,56.34,949
2,2020,5.0,50.667500000000004,785
2,2020,6.0,57.02,1172
2,2020,7.0,50.5975,878
2,2020,8.0,59.28,1107
2,2020,9.0,56.8025,826
2,2020,10.0,50.225,915
2,2020,11.0,54.2675,1356
2,2020,12.0,53.8575,965
2,2020,14.0,55.9675,578
2,2020,15.0,47.2425,694
2,2020,16.0,66.238,618
2,2020,17.0,63.542500000000004,477
2,2020,18.0,61.1825,1026
2,2020,19.0,63.9225,828
2,2020,20.0,62.68,348
2,2020,22.0,61.275,531
2,2020,24.0,58.912499999999994,568
2,2020,25.0,63.19,894
2,2021,1.0,51.79,457
2,2021,2.0,48.5025,585
2,2021,3.0,41.89,666
2,2021,4.0,48.2425,773
2,2021,5.0,43.39,605
2,2021,6.0,43.2275,882
2,2021,7.0,40.085,616
2,2021,8.0,46.39,888
2,2021,9.0,48.7525,590
2,2021,10.0,44.667500000000004,594
2,2021,11.0,47.21,1024
2,2021,12.0,46.9825,638
2,2021,14.0,62.48,394
2,2021,15.0,35.2375,467
2,2021,16.0,65.288,565
2,2021,17.0,58.769999999999996,375
2,2021,18.0,48.74,494
2,2021,19.0,60.42,505
2,2021,20.0,65.4175,273
2,2021,22.0,53.905,484
2,2021,24.0,57.26,439
2,2021,25.0,51.800000000000004,747
3,2018,1.0,71.74,1241
3,2018,2.0,63.5325,955
3,2018,3.0,61.4325,945
3,2018,4.0,58.792500000000004,1112
3,2018,5.0,60.915,980
3,2018,6.0,56.292500000000004,1261
3,2018,7.0,56.667500000000004,1116
3,2018,8.0,62.7,1326
3,2018,9.0,52.667500000000004,924
3,2018,10.0,61.7975,986
3,2018,11.0,62.1875,1562
3,2018,12.0,65.4325,994
3,2018,14.0,68.38,661
3,2018,15.0,58.302499999999995,891
3,2018,16.0,69.424,780
3,2018,17.0,70.6575,645
3,2018,18.0,71.5875,1166
3,2018,19.0,70.7525,899
3,2018,20.0,70.07249999999999,371
3,2018,22.0,67.005,706
3,2018,24.0,67.6275,648
3,2018,25.0,58.001666666666665,1074
3,2019,1.0,69.42,1191
3,2019,2.0,60.1225,868
3,2019,3.0,49.652499999999996,977
3,2019,4.0,53.4425,1140
3,2019,5.0,52.07,869
3,2019,6.0,49.9975,1270
3,2019,7.0,52.82,1035
3,2019,8.0,58.22,1189
3,2019,9.0,54.6975,896
3,2019,10.0,53.0075,1030
3,2019,11.0,48.697500000000005,1540
3,2019,12.0,64.41,1013
3,2019,14.0,66.26,717
3,2019,15.0,48.0175,829
3,2019,16.0,75.64200000000001,654
3,2019,17.0,70.51,507
3,2019,18.0,70.2825,1190
3,2019,19.0,69.4725,928
3,2019,20.0,72.315,316
3,2019,22.0,64.98,652
3,2019,24.0,66.19,623
3,2019,25.0,57.00666666666667,1011
3,2020,1.0,59.902499999999996,672
3,2020,2.0,59.27,736
3,2020,3.0,55.9875,813
3,2020,4.0,60.455,989
3,2020,5.0,51.95,789
3,2020,6.0,52.9875,1157
3,2020,7.0,53.1575,898
3,2020,8.0,58.2125,1066
3,2020,9.0,52.76,752
3,2020,10.0,50.04,810
3,2020,11.0,54.1575,1217
3,2020,12.0,58.1425,776
3,2020,14.0,58.67,505
3,2020,15.0,52.75,748
3,2020,16.0,69.15,567
3,2020,17.0,64.53,467
3,2020,18.0,61.43,748
3,2020,19.0,63.8575,708
3,2020,20.0,64.9375,298
3,2020,22.0,58.5275,538
3,2020,24.0,58.33,573
3,2020,25.0,62.73666666666666,908
3,2021,1.0,52.2425,514
3,2021,2.0,46.3,705
3,2021,3.0,46.84,900
3,2021,4.0,51.96,998
3,2021,5.0,41.2675,765
3,2021,6.0,41.42,1194
3,2021,7.0,46.8925,822
3,2021,8.0,47.405,1001
3,2021,9.0,41.6075,646
3,2021,10.0,45.315,707
3,2021,11.0,45.78,1308
3,2021,12.0,48.2275,746
3,2021,14.0,60.224999999999994,569
3,2021,15.0,42.84,722
3,2021,16.0,62.946000000000005,612
3,2021,17.0,58.3575,417
3,2021,18.0,49.36,566
3,2021,19.0,62.09,615
3,2021,20.0,65.335,321
3,2021,22.0,55.807500000000005,517
3,2021,24.0,57.4375,516
3,2021,25.0,52.946666666666665,910
4,2018,1.0,70.8325,1253
4,2018,2.0,63.9625,932
4,2018,3.0,59.9225,942
4,2018,4.0,57.88,1162
4,2018,5.0,60.0925,1039
4,2018,6.0,56.85,1231
4,2018,7.0,56.8625,1144
4,2018,8.0,60.737500000000004,1280
4,2018,9.0,58.93,844
4,2018,10.0,49.5075,931
4,2018,11.0,59.5975,1540
4,2018,12.0,65.62,1048
4,2018,14.0,66.7325,756
4,2018,15.0,57.35,772
4,2018,16.0,67.494,677
4,2018,17.0,69.82,640
4,2018,18.0,70.71,1283
4,2018,19.0,69.9375,968
4,2018,20.0,68.5975,327
4,2018,22.0,65.02,715
4,2018,24.0,66.8725,545
4,2018,25.0,62.92666666666667,1119
4,2019,1.0,68.31,1224
4,2019,2.0,61.487500000000004,839
4,2019,3.0,50.3,1043
4,2019,4.0,54.1375,1097
4,2019,5.0,54.6575,939
4,2019,6.0,46.442499999999995,1341
4,2019,7.0,46.995,1122
4,2019,8.0,59.4275,1233
4,2019,9.0,55.4925,865
4,2019,10.0,52.8375,1045
4,2019,11.0,47.6075,1688
4,2019,12.0,63.65,904
4,2019,14.0,68.3375,656
4,2019,15.0,49.8375,852
4,2019,16.0,73.534,750
4,2019,17.0,71.0825,572
4,2019,18.0,68.24,1231
4,2019,19.0,70.655,969
4,2019,20.0,69.31,362
4,2019,22.0,65.9925,662
4,2019,24.0,67.185,576
4,2019,25.0,55.73333333333333,1060
4,2020,1.0,65.7025,402
4,2020,2.0,59.605000000000004,578
4,2020,3.0,53.2325,725
4,2020,4.0,61.05,756
4,2020,5.0,52.730000000000004,677
4,2020,6.0,56.2575,889
4,2020,7.0,53.26,756
4,2020,8.0,60.79,858
4,2020,9.0,52.12,621
4,2020,10.0,49.5275,683
4,2020,11.0,48.042500000000004,857
4,2020,12.0,61.6025,570
4,2020,14.0,57.682500000000005,374
4,2020,15.0,47.57,542
4,2020,16.0,73.014,401
4,2020,17.0,67.8025,423
4,2020,18.0,66.37,365
4,2020,19.0,66.9575,585
4,2020,20.0,67.11,289
4,2020,22.0,60.9075,430
4,2020,24.0,63.3725,401
4,2020,25.0,63.31999999999999,730
4,2021,1.0,52.8,591
4,2021,2.0,48.652499999999996,671
4,2021,3.0,43.942499999999995,802
4,2021,4.0,55.7975,1001
4,2021,5.0,41.6825,753
4,2021,6.0,35.09,1036
4,2021,7.0,46.582499999999996,928
4,2021,8.0,50.83,942
4,2021,9.0,46.78,660
4,2021,10.0,47.6775,686
4,2021,11.0,44.35,1228
4,2021,12.0,55.78,683
4,2021,14.0,55.58,466
4,2021,15.0,45.1725,655
4,2021,16.0,62.02,556
4,2021,17.0,61.6,406
4,2021,18.0,51.14,560
4,2021,19.0,62.184999999999995,660
4,2021,20.0,66.6975,322
4,2021,22.0,56.665,585
4,2021,24.0,53.58,507
4,2021,25.0,55.501666666666665,826
5,2018,1.0,72.1975,1480
5,2018,2.0,63.7525,1167
5,2018,3.0,65.3825,1147
5,2018,4.0,57.5175,1275
5,2018,5.0,56.042500000000004,1152
5,2018,6.0,60.795,1558
5,2018,7.0,53.705,1394
5,2018,8.0,62.2025,1500
5,2018,9.0,62.235,1039
5,2018,10.0,49.042500000000004,1144
5,2018,11.0,61.04,1847
5,2018,12.0,62.2375,1180
5,2018,14.0,62.3225,852
5,2018,15.0,53.2675,1003
5,2018,16.0,68.09200000000001,757
5,2018,17.0,67.32,693
5,2018,18.0,70.52,1467
5,2018,19.0,72.2125,1018
5,2018,20.0,66.0025,407
5,2018,22.0,64.0925,843
5,2018,24.0,65.4375,634
5,2018,25.0,59.348333333333336,1191
5,2019,1.0,72.5675,1376
5,2019,2.0,61.550000000000004,1022
5,2019,3.0,49.9,1220
5,2019,4.0,55.97,1307
5,2019,5.0,48.495,1091
5,2019,6.0,52.79,1568
5,2019,7.0,40.912499999999994,1301
5,2019,8.0,54.75,1355
5,2019,9.0,56.3225,1006
5,2019,10.0,54.26,1094
